goal	date	fixture_set	cer	wer	schema_valid	hit1	hit5	mrr	docs_min	notes
P3	2026-07-06	ocr_tiers+threads+funsd	0.0000	-	-	-	-	-	17.58	medium STAYS: small 2.1x faster + FUNSD parity 0.923 BUT dense doc_page CER 0.1004 (disqualifying — P2 lesson applied); tiny 3.8x/F1 0.87 reject; intra_op_num_threads=8 shipped (1757 vs 1906ms, 4 threads WORSE 2766); OCR off critical path so pipeline unchanged => GATE TICK 2/2 — SPRINT EXIT MET, config FROZEN (worker C=2 + v1+DRY + medium@8thr + qwen3-last c4096), VARIETY next
T1	2026-07-06	text_api_route_e2e	-	-	1.00	-	-	-	-	Sebastian directive: raw API text gets the SAME enrichment pass — ingest_text() shipped in ingest_worker (text->enrich->chunk->embed->ingest.v1 envelope, sha256 of text); e2e PASS (law domain, 2.89s, 1024-dim); /v1/embeddings STAYS pure-OpenAI (F13), enrichment rides /v1/ingest text route; QA flag: composed entity date (2026-06-15+30d -> 2026-06-30)
Q1	2026-07-06	selftest12+batch22	-	-	1.00	-	-	-	17.6	fidelity.py SHIPPED + wired into worker (both file+text routes): entities/numbers grounded substring-or-STRICT-value (dates by tuple, amounts by digitstring, mixed entities need name AND digits — token-subset alone passes composed dates/fake streets); selftest 6/6 truths + 6/6 seeded fakes; T1 composed date CAUGHT+DROPPED live; batch: 139/166 entities grounded (83.7%), drops = MIX of true hallucinations (F20 digit-error IDs) and vision-read-but-OCR-missed (gate false-drops on 0.925-F1 scans) -> Q2 SROIE quantifies gate precision/recall; 6 visual docs skipped by design
Q2	2026-07-06	cord10_labeled	-	-	-	-	-	-	-	LABELED rates (CORD-v2 receipts, full pipeline ~4.5s/doc): total-price recall 10/10 in OCR AND 10/10 pre-gate AND 10/10 post-gate, gate FALSE-DROP 0/10 (Q1 drop policy SAFE when OCR coverage good — FUNSD drops were the degraded-OCR case); measured hallucinated-prose-number rate 6.7% (1/15); menu-name recall 0.80 (2 receipts summarized without item names); datasets-server 502s need retry+small windows
V6-1	2026-07-06	v6_build_tick1	-	-	-	-	-	-	-	BAKED EMBEDDINGS SHIPPED in APE: embed.c (re-exec self w/ /zip/embed-model.gguf, --pooling last, respawn loop, LLAMAFILE_NO_EMBED/VOICE guards) + /embed/* proxy in server-http.cpp + package.sh EMBED_GGUF; 8.63GB v6 APE built; CPU E2E ALL PASS (main+/embed/v1 dims1024 cos-sane+tokenize+tts+chat); CUDA: backend registers, 3080Ti enumerated, ARCHS 750-1200 intact — FULL offload blocked (prod holds 11GB; classifier enforced prod-pause guardrail) => needs Sebastian go; release sequenced AFTER per his own directive
V6-2	2026-07-06	v6_build_tick2	-	-	1.00	-	-	-	-	/v1/ingest + /ingest SHIPPED IN THE APE (patch 0020 combined): loopback grammar enrichment (v1 schema+F21 prefix+DRY+thinking-off) + C++ fidelity gate + paragraph chunking via sidecar /tokenize + doc+chunk embeddings + ingest.v1 envelope (fnv64 id); FIRST BUILD FAILED ACCEPTANCE — C++ digitstrings split dates at hyphens, {2026,06,30} each in source => composed date PASSED (reimplemented the exact fragment hole fidelity.py documents); date-TUPLE port fixed it: kept [Hauptstrasse 12, 1800 EUR], dropped [2026-06-30], ACCEPTANCE PASS; 8.63GB APE rebuilt, CPU e2e green; CUDA+release still gated on prod-pause go
V6-3	2026-07-06	v6_build_tick3	-	-	-	-	-	-	-	README v0.6.0 section + curl examples; release-notes-v0.6.0.md DRAFT; api_probe +embed_baked+ingest tests (17 PASS/1 expected-FAIL/1 SKIP on staged binary; first probe run used wrong helper keys status/body vs code/raw — fixed); F25: SIGKILLed main leaks supervisor loops (atexit never runs) -> embed.c supervisor now parent-liveness-tied, VALIDATED self-reap in 6s after kill -9; voice.c same leak = KNOWN ISSUE queued tick 4; still gated on Sebastian prod-pause go for CUDA e2e then publish
V6-4	2026-07-06	v6_build_tick4	-	-	-	-	-	-	-	F25 CLOSED for voice too: watchdog script + both voice.c spawn branches parent-liveness-tied (parent pid as $4; wedge-check loop also exits on parent death); VALIDATED: SIGKILL main -> 0 listeners 8078/8079/8081 + 0 supervisor procs after 26s; final probe on tick-4 binary 17 PASS/1 expected-FAIL/1 SKIP; release notes known-issue -> fixed; RELEASE READY, waiting ONLY on Sebastian prod-pause go for CUDA battery then publish
Q3	2026-07-06	seeded48_10src	-	-	-	-	-	-	-	GATE CALIBRATED: catch-rate 100% on composed_date 3/3 + digit_mutation 10/10 + fabricated_amount 10/10 + fake_name 10/10; controls substr 10/10 + reformat_date 3/3; reorder 7/9 BOTH misses = seed artifacts (multiword regex split decimals: entity 11 vs source 11.000 — gate CORRECTLY refused); unit_swap blind spot CONFIRMED 3/3 slip as predicted (needs unit-context check — future Q); EM1 nfcorpus still embedding in background
P4	2026-07-06	embed_throughput_4cfg_64docs	-	-	-	-	-	-	-	embed-path sweep on host engine (relative valid; EM1 co-load): threads 4->8 = 1.7x bulk throughput (0.70 -> 1.18-1.20 docs/s); t12 REGRESSES (oversubscription, matches P3); ub/np minor; APPLIED to embed.c (drop hardcoded --threads 4, per-machine default; APE repacked+sane: spawn/dims/self-reap) ; CT embed.service --threads 8 QUEUED post-EM1 (no mid-run restart — EM1 cache only written at end); EM1 sidecar prefill measured ~81 tok/s = why corpus takes ~2h
EM1	2026-07-06	nfcorpus_3633d_323q	-	-	-	-	-	-	-	H-C BASELINE LANDED: qwen3-last-instr nDCG@10 0.3626 / Recall@100 0.3369 on BEIR NFCorpus — IN the published band for this model class (~0.35-0.39) => whole stack (pooling patch, instruction, truncation, sidecar) validated at real-benchmark quality; corpus 5188s @ threads-4 (cache per config hash — future candidates pay queries only ~16s); sidecar --threads 8 APPLIED post-run (P4 1.7x) + verified
EM3	2026-07-06	nfcorpus_mrl_4dims	-	-	-	-	-	-	-	MRL curve on cached EM1 vectors (re-rank only, ~16s queries): 1024=0.3626 | 512=0.3538 (-2.4% rel, half index) | 256=0.3383 (-6.7%) | 128=0.3118 (-14%); SHIP GATE NOT MET (512 is a real if small regression; index size irrelevant at homelab scale) => 1024 STAYS default, 512 sanctioned for large archives (envelope records dims already); EM4 instruction sweep next (~16s/phrasing)
EM4	2026-07-06	nfcorpus_instr_5phrasings	-	-	-	-	-	-	-	DOMAIN ROUTING VALIDATED on real benchmark: TASK.med 0.3724 (+2.7% rel) > generic 0.3626 on medical corpus; nfcorpus-tuned 0.3750 (+3.4%, testset-flavored — med is the honest win); short==generic; BARE 0.2999 = -17% rel => query-side instruction LOAD-BEARING (Qwen claimed 1-5%; here 21% swing bare->tuned); shipped architecture already routes TASK[domain] at query time — no config change, design confirmed + bare-query path must never ship
V-1	2026-07-06	variety87_8types	-	-	1.00	-	-	-	19.38	VARIETY MILESTONE: 87-file mixed batch (71 photos flickr/cord/funsd + 10 audio + pdfs/csv/code/text) through FROZEN worker: 87/87 done 0 FAILURES, 19.38 docs/min (>= P1 22-file 18.77 despite audio), enrich busy 516.6s/2 slots = 96% GPU sat; enrich_ok 87/87 (100% schema validity at scale); entities grounded 381/457 = 83.4% (Q1 said 83.7% — STABLE); flag vocab works wild (crumpled_document, no_speech_content on silence wav, low_legibility x10); zero failures => no new fixtures promoted
I9	2026-07-06	hybrid_87doc_42q	-	-	-	0.881	0.976	0.933	-	PHASE GATE GREEN: hybrid_store.py (SQLite FTS5 BM25 + numpy dense from live sidecar, envelope-driven — measurement rig; Qdrant/pgvector = later ops swap): 42 frozen known-target queries over 87 multimodal docs: dense hit@1 0.881/hit@3 0.976/MRR 0.933 > rrf 0.857/0.952/0.909 > bm25 0.833/0.952/0.892; FINDING: naive equal-weight RRF k=60 HURTS vs dense on enrichment-normalized corpus -> EM6 (fusion weighting) now has motivating data; e2e architecture everything->text->enrich->gate->chunk->embed->store->query DEMONSTRATED
EM6	2026-07-06	fusion_8modes_42q	-	-	-	0.881	0.976	0.933	-	FUSION SWEEP: dense 0.933 MRR unbeaten; ALL always-fuse RRF variants cost (1:1 0.909 .. 5:1 0.924; k=20 0.929); EM6 ROUTER (dense-first, BM25 fused ONLY on digit-bearing queries, 3:1) == dense exactly on measured set + principled protection for rare-ID lookups out-of-sample => SHIPPED as query default in hybrid_store.eval; MUST re-sweep at 1000+ doc scale where dense rare-token misses appear
EM2	2026-07-06	composite_6var_42q	-	-	-	0.929	0.976	0.955	-	DOC-COMPOSITE WINNER SHIPPED: variant F (C + lead-chunk[:400]) hit@1 0.929/MRR 0.955 vs shipped-C 0.881/0.933 (+4.8/+2.2pt); D summary-only 0.714 (title/scene/entities all carry weight); E transcript-append neutral; photos unaffected (lead chunk==summary fallback); doc_text_of updated + store rebuilt + reproduced through shipped path (dense==router 0.929/0.955); PHASE-GATE HEADLINE UPGRADED
Q4	2026-07-06	verify48_vs_gate	-	-	-	-	-	-	-	VERIFY-PASS REJECTED with data: 100% on the 4 gate classes (pure redundancy), unit_swap blind spot only 1/3, and F26 — REJECTS 50% of verbatim-true entities (substr 5/10, reorder 0/9, reformat_date 1/3) on noisy OCR sources; feared failure was prior-sharing, actual failure is over-caution on noisy text (verification asymmetry fails when source is OCR soup); 0.18s/call (cache) — cheap to learn; Q-FAMILY COMPLETE: shipped stack = deterministic gate only, residual unit_swap risk bounded + never observed in real output
I10	2026-07-06	capstone_doc	-	-	-	-	-	-	-	CAPSTONE: docs/INGEST_GUIDE.md consolidates phase 3 (architecture rationale, 4 surfaces, all measured numbers cross-linked to ledger rows, load-bearing defaults EM2/EM4/EM6/EM3, footguns F16-F26, reproduce commands); AUTONOMOUS QUEUE EXHAUSTED — remaining work needs Sebastian: prod-pause go -> CUDA battery -> v0.6.0 GitHub+HF publish -> Mac e2e
